Original Size;After White Spaces;After Numbers;After URLs;After Punctuation;After Javascript;After HTML
1766;1689;1658;1658;1620;1620;1578
2859;2775;2750;2689;2656;2656;2604
2873;2759;2725;2634;2581;2581;2545
1129;1082;1058;1058;1043;1043;1019
605;563;548;431;416;416;365
1074;1014;999;999;969;969;899
2772;2601;2572;2572;2516;2516;2389
1080;1013;968;968;833;833;703
7123;5783;5767;5421;5374;5374;2205
4915;4493;4472;4357;4332;4332;1523
1477;1413;1389;1351;1322;1322;1272
1292;1181;1114;1114;1068;1068;949
3540;3275;3249;3249;3090;3090;3040
1295;1189;1123;1123;1078;1078;959
14136;13458;13379;13356;12593;12593;12543
3540;3275;3249;3249;3090;3090;3040
1131;965;943;943;923;923;873
1676;1460;1441;1441;1422;1422;1372
2171;2062;2035;2007;1981;1981;1930
2172;2063;2036;2008;1982;1982;1931
2116;1924;1893;1816;1787;1787;1736
1599;1519;1478;1433;1333;1333;1191
6969;6574;6534;6534;5475;5475;5425
3787;3218;3188;3051;2989;2989;2939
8265;7590;7562;7291;7265;7265;2974
6166;6007;5961;5649;5528;5528;5478
10739;10228;10113;10113;9906;9906;9855
4008;3236;3206;3055;2993;2993;2943
2269;2203;2172;2082;2009;2009;1925
969;911;890;890;856;856;804
1716;1414;1388;1388;1373;1373;1323
9562;9254;9208;9151;9036;9036;7813
8307;7629;7601;7302;7276;7276;2985
1692;1616;1586;1548;1518;1518;1468
639;552;524;524;512;512;462
2910;2450;2432;2338;2273;2273;271
30860;30430;30407;30407;30353;30353;30155
3605;3406;3380;3136;3089;3089;3039
599;463;439;399;382;382;332
11342;10847;10742;10742;10273;10273;10223
4893;4581;4540;4540;4492;4492;4420
4622;4233;4198;4156;3765;3765;3715
615;549;528;528;516;516;466
1967;1256;1240;1205;1184;1184;1134
7201;6961;6871;6871;5950;5950;5877
9356;8998;8930;8930;8809;8809;8735
429;408;393;346;334;334;283
1682;1607;1580;1543;1392;1392;1318
3726;3231;3187;3187;2934;2934;2883
2309;2233;2217;2074;1835;1835;1784
1345;1266;1239;1239;1214;1214;1163
2087;2011;1986;1914;1869;1869;1796
1041;982;967;967;945;945;894
2294;2224;2208;2067;1842;1842;1791
1052;893;857;857;761;761;710
1228;1163;1149;1127;1105;1105;1054
1348;1269;1235;1235;1216;1216;1165
5753;5261;5197;5197;4863;4863;4810
1996;1881;1844;1739;1708;1708;1636
2630;2479;2453;2353;2325;2325;2274
1846;1720;1693;1693;1514;1514;1463
11140;10589;10474;10474;10258;10258;10207
2800;2741;2709;2608;2577;2577;2440
3053;2877;2861;2259;2229;2229;1032
31476;30696;30482;30482;29982;29982;29931
596;480;455;415;397;397;346
3298;3180;3138;3138;3057;3057;3006
2923;2453;2435;2341;2276;2276;272
13495;12028;11977;11639;11577;11577;3533
