Original Size;After White Spaces;After Numbers;After URLs;After Punctuation;After Javascript;After HTML
1299;1251;1236;1023;1017;1017;550
5785;5246;5230;5103;5073;5073;1267
2821;2709;2667;2607;2575;2575;2474
3308;2932;2896;2708;2624;2624;2297
3308;2932;2896;2708;2624;2624;2297
11949;9748;9692;9214;9143;9143;6034
2260;2199;2193;2086;2070;2070;880
4442;4271;4259;4193;3903;3903;3800
2063;2006;1977;1880;1864;1864;1274
19828;18779;18633;12558;12330;12330;5430
5846;5681;5641;5529;5492;5492;4390
4766;4585;4575;4418;4390;4390;1499
33683;28920;28854;20712;20467;20467;9433
3480;3246;3168;3118;3043;3043;2979
908;868;855;795;775;775;693
9175;8737;8681;8184;8115;8115;5630
10540;9682;9579;9342;9204;9204;3027
5138;4987;4981;4981;4951;4951;3200
3667;3413;3397;2428;2338;2338;858
1467;1387;1382;1085;1061;1061;525
1520;1422;1400;1400;1361;1361;1327
1542;1402;1386;1297;1215;1215;1181
3937;3648;3613;3179;3041;3041;694
2835;2764;2755;2297;2271;2271;1238
7253;7002;6975;6861;6803;6803;2622
1295;1217;1202;885;880;880;340
6082;5826;5740;5382;4585;4585;3915
12598;12091;11968;11968;11375;11375;11245
4766;4585;4575;4418;4390;4390;1499
4340;4166;4157;3940;3904;3904;2154
1108;1061;1053;958;945;945;872
5811;5692;5675;5654;5617;5617;5533
6187;6073;6063;5952;5916;5916;5848
5424;5320;5307;5249;5207;5207;5137
11885;11700;11664;11588;11507;11507;11425
7628;7467;7451;7286;7252;7252;7170
14061;13795;13785;13647;13491;13491;13403
9908;9723;9710;9633;9590;9590;9516
8950;8763;8753;8677;8623;8623;8541
8995;8791;8777;8240;8200;8200;8118
6458;6335;6325;6188;6153;6153;6054
8268;8082;8067;7971;7912;7912;7824
14586;14259;14239;14124;14002;14002;13922
7944;7727;7717;7633;7574;7574;7478
2541;1944;1887;1887;1555;1555;1417
2243;2177;2142;2142;2090;2090;1963
2850;1981;1935;1935;1881;1881;1769
2813;2196;2119;2119;1772;1772;1630
1712;1605;1557;1474;1376;1376;1139
2909;2815;2740;2693;2620;2620;2477
2502;2259;2188;2093;1956;1956;1797
4388;4131;4031;3955;3807;3807;3687
1706;1562;1521;1371;1290;1290;1151
1949;1799;1738;1588;1494;1494;1343
3038;2645;2581;2581;2244;2244;2112
13431;12874;12694;12694;12056;12056;11874
6918;6562;6332;6256;5977;5977;5771
6322;5989;5789;5713;5466;5466;5280
5726;5416;5246;5170;4955;4955;4789
5130;4843;4703;4627;4444;4444;4298
4597;4303;4211;4137;3902;3902;3792
1581;1527;1482;1405;1365;1365;1240
1581;1527;1482;1405;1365;1365;1240
3124;2990;2923;2923;2844;2844;2713
1414;1346;1329;1329;1310;1310;1266
3388;3272;3237;2869;2818;2818;2151
3388;3272;3237;2869;2818;2818;2151
5682;5143;5120;4708;4668;4668;1728
2089;2017;2000;1854;1838;1838;827
1591;1529;1512;1512;1500;1500;1243
992;949;936;875;858;858;830
2169;2107;2094;1872;1846;1846;1522
16430;15462;15449;11362;11204;11204;2762
2131;2060;2047;1915;1883;1883;1255
1591;1529;1512;1512;1501;1501;1244
1696;1644;1621;1582;1572;1572;700
2774;2577;2559;2223;2178;2178;2153
2262;2202;2175;2107;2086;2086;1488
1933;1871;1854;1772;1745;1745;1523
1263;1228;1209;1180;1143;1143;1100
16779;14828;14803;14727;14562;14562;14527
5230;3925;3892;3452;3427;3427;1850
10369;9913;9882;9856;9382;9382;9335
1555;1501;1484;1317;1306;1306;713
1155;1078;1065;1065;1047;1047;1012
1258;1177;1164;1164;1144;1144;1123
2939;2624;2597;2542;2525;2525;1330
11612;11009;10982;10908;10846;10846;8928
1413;1356;1343;1298;1283;1283;1237
1679;1619;1606;1561;1530;1530;1484
1682;1621;1604;1526;1511;1511;1287
2174;2091;2068;2021;1992;1992;1191
4257;4012;3977;3889;3859;3859;1338
38658;38077;38064;37990;37889;37889;36284
1673;1613;1600;1555;1523;1523;1477
2054;1967;1944;1944;1928;1928;1926
4200;3955;3930;3842;3815;3815;1291
2329;2275;2257;2132;2119;2119;1125
2088;2000;1977;1977;1960;1960;1958
1414;1354;1320;1227;1209;1209;1172
1415;1356;1343;1298;1283;1283;1237
1846;1791;1774;1680;1656;1656;1473
14427;12109;12084;11982;11926;11926;3349
4314;4174;4154;3932;3905;3905;2066
1770;1684;1671;1627;1616;1616;736
2140;2068;2039;1984;1959;1959;1690
3630;3444;3428;3332;3316;3316;1003
3591;3363;3334;3203;3166;3166;1652
3684;3487;3471;3375;3359;3359;1036
141733;139881;139868;139868;139830;139830;139798
7273;5779;5766;4446;4409;4409;1857
1603;1552;1539;1500;1490;1490;626
982;942;929;901;869;869;818
4830;4706;4672;4565;4551;4551;1023
4784;4660;4636;4529;4514;4514;982
714;687;674;674;663;663;661
2064;1961;1933;1820;1679;1679;1640
5602;5346;5327;5101;5085;5085;1306
1506;1429;1416;1288;1255;1255;1214
10896;9406;9370;8992;8947;8947;4113
2113;1976;1963;1631;1583;1583;1538
5362;5195;5177;5022;4996;4996;1776
2100;2030;2018;1895;1863;1863;1233
4916;4194;4170;4027;4007;4007;1375
1682;1621;1605;1523;1507;1507;1286
4220;4094;4074;3809;3786;3786;1369
1298;1118;1106;1023;1008;1008;515
679;653;641;641;632;632;630
1541;1493;1481;1394;1379;1379;1088
1594;1539;1524;1409;1379;1379;1070
4360;4117;4097;3832;3810;3810;1403
7015;6562;6536;6510;5949;5949;5902
1555;1427;1415;1332;1248;1248;1200
2727;2665;2643;2575;2531;2531;1933
1849;1794;1778;1684;1660;1660;1473
1864;1789;1761;1719;1692;1692;1647
2329;2178;2162;1918;1889;1889;1047
2733;2661;2639;2532;2498;2498;1826
4031;3794;3770;3151;3119;3119;3084
1209;876;864;826;815;815;782
27720;22800;22772;22295;22142;22142;11917
1992;1929;1913;1831;1798;1798;1576
3062;3001;2981;2190;2172;2172;960
6977;6412;6369;6129;5968;5968;3625
1232;1174;1136;1136;1111;1111;1078
1793;1719;1691;1645;1624;1624;1591
16812;14860;14836;14760;14593;14593;14558
2064;2000;1974;1894;1863;1863;1639
2184;2125;2103;2037;2018;2018;1418
15218;13220;13147;12752;12657;12657;2642
3695;3354;3339;3093;3060;3060;1711
508;489;477;477;467;467;419
1922;1859;1847;1515;1472;1472;1430
4635;4511;4499;4390;4369;4369;1164
1282;1239;1224;1196;1182;1182;1134
4953;4827;4815;4706;4666;4666;1443
1561;1507;1492;1377;1348;1348;1040
3103;3013;2993;2842;2801;2801;1723
6027;5076;5064;4847;4812;4812;1390
2087;1999;1977;1977;1960;1960;1958
838;617;605;586;577;577;530
2053;1966;1944;1944;1928;1928;1926
864;600;588;569;562;562;529
7533;7356;7319;7285;7249;7249;4919
6030;5080;5068;4850;4814;4814;1392
2288;2130;1966;1922;1910;1910;1875
998;669;657;638;631;631;598
2092;2019;2002;1934;1895;1895;1867
797;764;748;748;736;736;734
763;731;715;715;704;704;702
2654;2564;2544;2393;2374;2374;1302
21810;14101;14083;13254;13154;13154;3012
2376;2306;2293;2197;2176;2176;1506
1444;1402;1390;1359;1326;1326;1278
158799;156383;156354;155943;155838;155838;150901
2656;2568;2547;2396;2377;2377;1302
1178;1123;1106;1034;1007;1007;959
18566;15907;15879;15769;15707;15707;5057
8080;7787;7746;7746;7234;7234;7191
3481;3390;3369;3218;3172;3172;2099
1408;1322;1305;1175;1133;1133;853
4000;3545;3487;3252;3062;3062;3029
8881;7940;7917;7490;7444;7444;2336
1791;1717;1688;1645;1624;1624;1591
1041;999;982;982;969;969;921
4000;3680;3662;2950;2920;2920;1686
1444;1402;1390;1359;1326;1326;1278
1444;1402;1390;1359;1326;1326;1278
1775;1706;1687;1652;1621;1621;1581
3463;3344;3320;3093;3062;3062;1815
1283;1230;1217;1125;1115;1115;799
1;1;1;1;1;1;1
11314;11061;10994;10694;10588;10588;9218
1997;1926;1895;1766;1757;1757;1211
11340;11086;11019;10719;10614;10614;9244
6906;4461;4441;4240;4210;4210;1720
560;539;526;526;510;510;473
5595;5339;5320;5094;5078;5078;1306
4364;4048;4029;3852;3817;3817;1495
5941;4992;4979;4784;4748;4748;1441
3433;3329;3316;3316;3280;3280;3243
2914;2825;2804;2653;2628;2628;1548
2167;2090;2077;2077;2024;2024;1989
1181;1121;1089;1028;999;999;951
23662;23325;23305;23305;23228;23228;22698
5984;5036;5024;4829;4745;4745;1442
2724;2645;2626;2536;2514;2514;1544
1475;1404;1385;1352;1322;1322;1247
1953;1895;1878;1784;1756;1756;1576
2535;2469;2446;2298;2286;2286;890
2770;2659;2646;2427;2378;2378;1976
1221;1175;1158;1067;1049;1049;929
1353;1292;1253;1253;1223;1223;1181
1152;1072;1045;1045;1032;1032;980
1529;1455;1436;1436;1403;1403;1302
2480;2410;2387;2297;2272;2272;1603
33987;33215;32855;32177;32050;32050;20826
3750;3629;3596;3596;3563;3563;3528
3118;3028;3008;2857;2815;2815;1740
1925;1841;1818;1427;1405;1405;848
2244;2170;2153;2007;1990;1990;950
2615;2557;2544;2199;2185;2185;1429
1279;1226;1213;1121;1111;1111;799
5001;4831;4812;4652;4641;4641;1505
1566;1525;1500;1500;1458;1458;1412
2967;2875;2854;2703;2670;2670;1595
1868;1800;1787;1639;1616;1616;1159
1773;1711;1684;1599;1583;1583;1360
1543;1495;1478;1337;1312;1312;1118
12152;10318;10305;10126;10063;10063;1904
12176;10341;10328;10149;10089;10089;1930
1720;1658;1641;1556;1540;1540;1317
1878;1822;1805;1711;1683;1683;1502
12174;10340;10327;10148;10085;10085;1926
1918;1772;1759;1659;1553;1553;1518
11405;9004;8991;8859;8806;8806;2021
11354;8954;8941;8809;8759;8759;1974
3134;3012;2999;2835;2807;2807;1819
1430;1331;1301;1279;1255;1255;1226
2718;2638;2619;2523;2502;2502;1521
2963;2833;2820;2820;2778;2778;2470
28380;25271;25186;24413;24064;24064;12881
1706;1643;1617;1617;1602;1602;1554
1683;1622;1605;1524;1507;1507;1285
1670;1608;1582;1582;1567;1567;1519
1986;1923;1906;1821;1792;1792;1566
1445;1346;1316;1294;1268;1268;1226
23700;23363;23333;23333;23256;23256;22728
2044;1974;1961;1837;1811;1811;1183
3719;3354;3335;3237;3197;3197;1511
8274;7973;7960;7667;7556;7556;7060
3451;3337;3324;3324;3289;3289;3252
2753;2672;2653;2563;2540;2540;1564
23748;23410;23380;23380;23301;23301;22771
2970;2878;2857;2706;2668;2668;1591
4463;3984;3926;3668;3503;3503;3132
3743;3613;3582;3323;3288;3288;2000
1480;1421;1408;1302;1277;1277;1235
3054;2849;2796;2718;2667;2667;2632
1985;1908;1874;1775;1738;1738;1708
4918;4402;4384;4225;4213;4213;1300
1774;1708;1695;1253;1230;1230;761
1706;1652;1635;1544;1530;1530;1295
1538;1457;1444;1053;1045;1045;492
1691;1630;1613;1530;1515;1515;1287
3679;3322;3296;3032;3017;3017;1588
11424;9021;9008;8857;8805;8805;2018
971;906;889;710;700;700;652
29745;29056;28916;28868;28501;28501;14699
3530;3135;3122;3031;3015;3015;1343
1589;1541;1524;1383;1355;1355;1164
2351;2270;2253;2129;2042;2042;1040
4209;3963;3938;3840;3810;3810;1292
3030;2830;2791;2717;2666;2666;2631
3327;3125;3086;3012;2940;2940;2905
5719;5560;5547;5385;5359;5359;1753
1308;1262;1245;1149;1136;1136;912
1796;1721;1692;1645;1624;1624;1591
3363;3228;3203;3119;2991;2991;1450
1705;1644;1622;1555;1521;1521;1474
1670;1606;1585;1557;1532;1532;1473
4353;4234;4221;4058;4025;4025;991
1992;1915;1886;1787;1747;1747;1712
1980;1905;1871;1772;1735;1735;1700
2457;2388;2375;2285;2263;2263;1591
6194;5934;5834;5564;4772;4772;4104
2269;2193;2164;2065;2016;2016;1968
3001;2861;2848;1868;1833;1833;1509
970;914;901;847;828;828;793
4965;4825;4800;4454;4402;4402;3098
1599;1544;1527;1348;1336;1336;738
3745;3665;3637;3205;3083;3083;2074
5270;4700;4683;4115;4082;4082;1328
1682;1591;1565;1469;1445;1445;1410
3168;3049;3026;2791;2772;2772;842
904;867;854;806;794;794;745
1973;1824;1804;1726;1698;1698;1660
2875;1953;1940;1900;1890;1890;1118
2738;2649;2618;2467;2447;2447;1375
3104;3018;3005;2795;2774;2774;2043
9397;8960;8906;7030;6918;6918;980
7571;6822;6802;6408;6371;6371;2302
904;867;854;806;794;794;745
16088;14739;14705;14113;14037;14037;4826
3592;3237;3221;2957;2946;2946;1517
1109;1054;1038;1016;1004;1004;974
1437;1378;1353;1170;1160;1160;1118
2959;2867;2846;2695;2663;2663;1583
9461;7354;7342;7049;6814;6814;1975
2915;2829;2813;2743;2720;2720;2680
2605;2546;2533;2137;2121;2121;1171
3438;3074;3055;2940;2920;2920;1236
9511;7403;7391;7098;6860;6860;2017
2023;1938;1912;1826;1797;1797;1758
3590;3235;3219;2955;2944;2944;1515
1755;1690;1678;1443;1423;1423;661
10897;10413;10352;10299;10206;10206;6015
1964;1815;1795;1717;1690;1690;1652
2548;2472;2455;2309;2278;2278;1238
2491;2421;2408;2318;2296;2296;1623
2749;2658;2627;2476;2455;2455;1375
1563;1509;1492;1317;1306;1306;713
4433;4313;4292;4078;4050;4050;1671
2198;2139;2116;2033;2014;2014;1418
4927;4774;4753;4461;4349;4349;1962
16757;16057;15811;15811;15014;15014;14975
2117;2031;2005;1829;1809;1809;1171
2160;2098;2085;1863;1837;1837;1530
9461;7354;7342;7049;6814;6814;1975
41888;41315;41302;41302;41254;41254;41207
41716;41145;41132;41132;41091;41091;41046
3079;2975;2946;2800;2767;2767;2186
4476;4234;4209;4110;4068;4068;1560
16082;14733;14699;14107;14031;14031;4813
3975;3869;3853;3666;3648;3648;1506
5138;4561;4544;4052;4021;4021;1331
1619;1479;1466;1383;1296;1296;1248
2665;2577;2556;2405;2385;2385;1302
2244;2170;2153;2007;1990;1990;950
2180;2060;2028;1927;1901;1901;1866
2824;2762;2749;1842;1821;1821;903
1490;1349;1326;1276;1259;1259;1211
2850;2757;2744;2380;2357;2357;1488
2076;2005;1992;1886;1865;1865;1122
1080;1032;1019;1019;993;993;959
1080;1032;1019;1019;993;993;959
5384;5069;5044;4945;4909;4909;2390
1930;1854;1815;1770;1745;1745;1712
6268;5479;5456;5340;5290;5290;3794
7439;7256;7237;7088;6886;6886;6413
2477;2407;2394;2280;2256;2256;1586
3819;3452;3423;3308;3273;3273;1589
1880;1794;1775;1668;1629;1629;1598
3772;3679;3659;3620;3602;3602;1241
27198;24995;24843;22732;21670;21670;3693
1630;1556;1533;1192;1179;1179;606
1836;1757;1726;1726;1700;1700;1665
2043;1972;1959;1853;1833;1833;1090
2271;2132;2111;2006;1981;1981;1945
6130;5967;5944;5762;5726;5726;2119
2141;2062;2016;2016;2000;2000;1957
6070;5812;5722;5452;4662;4662;3999
1569;1476;1463;1335;1302;1302;1256
13294;12346;12213;12172;11091;11091;11058
1793;1719;1690;1645;1624;1624;1591
1793;1719;1690;1645;1624;1624;1591
1555;1508;1491;1322;1297;1297;1107
4496;4369;4334;4203;4159;4159;3687
5827;5666;5644;5462;5436;5436;1829
630;605;592;592;577;577;537
16090;14741;14707;14115;14039;14039;4820
3382;3241;3224;2813;2773;2773;1607
1450;1305;1279;1279;1263;1263;1220
663;637;624;624;609;609;560
1365;1221;1205;1205;1191;1191;1148
1644;1579;1563;1337;1323;1323;885
13325;12376;12244;12203;11121;11121;11088
1592;1534;1509;1341;1329;1329;950
3733;3367;3349;3234;3202;3202;1518
1236;1185;1169;1119;1108;1108;1060
4962;4294;4278;3254;3230;3230;2059
5890;4940;4928;4737;4704;4704;1438
3209;3054;3042;2921;2887;2887;1512
2580;2508;2496;2384;2350;2350;1628
1360;1309;1297;927;913;913;697
1501;1440;1425;1293;1264;1264;1228
583;560;548;548;533;533;492
1262;1215;1199;1110;1091;1091;967
3498;3372;3334;3174;2900;2900;2856
1506;1443;1423;1356;1335;1335;1296
1894;1812;1795;1714;1681;1681;1642
2996;2842;2820;2699;2678;2678;1303
2597;2533;2518;2470;2445;2445;2407
2652;2562;2542;2391;2372;2372;1302
1248;1211;1198;1198;1182;1182;1154
4954;4709;4680;4636;4523;4523;4484
1876;1814;1789;1683;1654;1654;1607
4385;3832;3817;3637;3612;3612;1365
1460;1400;1385;1253;1228;1228;1199
5994;5041;5029;4838;4800;4800;1485
979;873;861;789;776;776;743
1492;1431;1416;1284;1257;1257;1222
1098;1054;1039;955;936;936;901
1323;1276;1260;1149;1135;1135;913
1495;1433;1413;1346;1328;1328;1289
1757;1687;1670;1629;1609;1609;1561
1;1;1;1;1;1;1
4348;3825;3813;3687;3662;3662;1559
4379;4252;4228;4097;4054;4054;3579
3837;3735;3723;3543;3525;3525;1305
5014;4490;4478;4101;4066;4066;1808
1561;1507;1491;1316;1306;1306;714
982;931;919;887;861;861;826
4810;4688;4660;4660;4474;4474;4430
3294;3138;3116;2995;2962;2962;1587
1013;961;949;917;891;891;854
1726;1669;1654;1486;1472;1472;1091
1703;1642;1626;1532;1515;1515;1287
2435;2376;2364;1457;1452;1452;534
1693;1615;1590;1458;1429;1429;1386
4810;4688;4660;4660;4475;4475;4431
4386;4260;4236;4105;4062;4062;3584
2628;2488;2460;2426;2382;2382;2343
11059;6665;6640;6532;6502;6502;1330
4619;4497;4472;4433;4407;4407;2243
5970;5020;5008;4835;4796;4796;1484
2066;1983;1968;1968;1945;1945;1905
2675;2602;2580;2468;2431;2431;1716
1792;1718;1690;1645;1623;1623;1590
1492;1441;1426;1258;1248;1248;847
1680;1614;1598;1372;1356;1356;917
1792;1718;1690;1645;1624;1624;1591
3439;3075;3057;2942;2922;2922;1236
1785;1714;1697;1656;1633;1633;1596
6052;5794;5704;5434;4644;4644;3991
1052;982;964;807;799;799;766
2027;1915;1903;1573;1559;1559;846
2623;2550;2538;2426;2390;2390;1671
36180;29255;29221;21789;21581;21581;7023
2400;2318;2242;2242;2208;2208;2170
1489;1409;1393;1254;1217;1217;1178
2912;2759;2747;2626;2606;2606;1231
1631;1569;1554;1554;1539;1539;1227
1631;1569;1554;1554;1540;1540;1540
1631;1569;1554;1554;1540;1540;1540
1631;1569;1554;1554;1540;1540;1230
1631;1569;1554;1554;1541;1541;1237
1631;1569;1554;1554;1541;1541;1541
1631;1569;1554;1554;1541;1541;1541
1631;1569;1554;1554;1541;1541;1541
1631;1569;1554;1554;1541;1541;1541
1631;1569;1554;1554;1541;1541;1541
1631;1569;1554;1554;1541;1541;1541
1631;1569;1554;1554;1541;1541;1243
1631;1569;1554;1554;1541;1541;1541
1631;1569;1554;1554;1540;1540;1540
1631;1569;1554;1554;1541;1541;1541
1631;1569;1554;1554;1541;1541;1541
1631;1569;1554;1554;1541;1541;1541
1631;1569;1554;1554;1541;1541;1541
1631;1569;1554;1554;1541;1541;1541
1631;1569;1554;1554;1541;1541;1227
36273;29339;29264;21845;21626;21626;7138
1631;1569;1554;1554;1541;1541;1541
36273;29339;29264;21845;21626;21626;7138
1631;1569;1554;1554;1540;1540;1540
36273;29339;29264;21845;21626;21626;7138
1631;1569;1554;1554;1541;1541;1541
36273;29339;29264;21845;21626;21626;7138
1631;1569;1554;1554;1541;1541;1541
36273;29339;29264;21845;21626;21626;7138
1631;1569;1554;1554;1540;1540;1540
36273;29339;29264;21845;21626;21626;7138
4806;4260;4223;4223;3958;3958;3913
2565;2511;2491;2209;2187;2187;1424
1631;1569;1554;1554;1540;1540;1540
1990;1927;1911;1817;1790;1790;1567
915;883;871;815;798;798;745
1525;1477;1461;1292;1269;1269;1079
8983;7940;7928;7114;7069;7069;2155
183125;180706;180690;180690;180614;180614;180316
1990;1927;1910;1821;1793;1793;1572
3943;3740;3701;3701;3448;3448;3406
5988;5442;5414;5028;4967;4967;3509
2499;2438;2416;2333;2302;2302;1700
2450;2250;2235;1984;1951;1951;1285
1586;1439;1426;1258;1242;1242;500
2121;2058;2045;1823;1792;1792;1493
14258;10872;10821;9966;9911;9911;4061
2713;2631;2609;2520;2486;2486;1757
2914;2831;2818;2729;2684;2684;1954
1664;1601;1585;1585;1571;1571;1524
36654;29722;29635;22219;22002;22002;7515
1907;1852;1804;1776;1752;1752;1715
27751;26763;26532;26532;26128;26128;26068
1178;1141;1119;974;962;962;747
28806;24374;24310;24025;23708;23708;9812
11972;9462;9449;8635;8589;8589;1870
6907;4947;4924;4628;4599;4599;1663
36586;29650;29601;22179;21974;21974;7468
3967;3732;3707;3096;3063;3063;3024
3192;3015;2983;2983;2949;2949;2903
9100;8430;8413;6211;6145;6145;1969
10229;7445;7426;6982;6949;6949;1919
12686;11390;11364;9292;9195;9195;4762
3257;3071;3039;3039;3003;3003;2958
6366;5410;5397;5199;5149;5149;1708
3857;3753;3740;3558;3538;3538;1319
1576;1506;1472;1472;1450;1450;1402
36148;29199;29162;21727;21524;21524;7014
10156;8754;8729;7964;7901;7901;2758
1424;1321;1304;1254;1232;1232;1193
2349;2288;2255;2158;2135;2135;1527
5828;5271;5254;5160;5144;5144;1067
2264;2204;2181;2084;2062;2062;1454
966;927;905;833;816;816;762
1188;1107;1039;1039;1023;1023;974
2327;2257;2228;2228;2204;2204;2155
4936;4691;4661;4621;4513;4513;4474
2192;1925;1912;1781;1757;1757;1073
8657;8021;7999;6093;6040;6040;2069
36364;29412;29355;21942;21738;21738;7278
2429;2358;2345;2139;2127;2127;1051
1420;1372;1349;1246;1234;1234;916
1561;1508;1495;1150;1142;1142;601
6223;5963;5863;5593;4799;4799;4125
5367;5227;5210;5108;5082;5082;1426
6083;5825;5735;5465;4672;4672;4013
5652;4722;4694;3814;3787;3787;1467
36968;30025;29905;22477;22265;22265;7795
1484;1408;1395;1068;1057;1057;484
19292;18467;18374;17788;17722;17722;14431
1657;1594;1581;1528;1507;1507;1028
1624;1562;1549;1496;1475;1475;998
2804;2634;2601;2553;2507;2507;2474
3119;2743;2730;2583;2571;2571;1244
2222;2142;2086;2086;2070;2070;2029
6791;6563;6544;5148;5126;5126;1750
2343;2286;2247;2151;2129;2129;1544
3573;3469;3447;3447;3410;3410;3373
2682;2445;2428;2381;2355;2355;1060
11056;8463;8446;8076;8034;8034;2574
11051;8458;8441;8071;8030;8030;2574
19526;17568;17543;13843;13581;13581;7894
13681;12571;12558;12433;12326;12326;9287
14815;12121;12102;12102;11816;11816;6586
4489;4239;4226;3560;3506;3506;1546
1508;1450;1419;1348;1329;1329;1290
14942;12246;12217;12217;11927;11927;6702
1720;1578;1555;1472;1385;1385;1337
2833;2730;2713;2653;2621;2621;2582
8304;8004;7979;7807;7697;7697;7188
6550;5595;5583;5390;5330;5330;1890
889;846;829;787;769;769;721
5686;5407;5390;4649;4581;4581;2476
11103;8509;8492;8122;8079;8079;2616
2736;2653;2640;2543;2507;2507;1771
2992;2678;2661;2554;2538;2538;985
3617;3483;3460;3304;3258;3258;2190
14410;13805;13737;13528;13425;13425;10289
2718;2636;2623;2526;2492;2492;1765
4926;4681;4651;4606;4494;4494;4455
1628;1578;1561;1429;1413;1413;1187
2067;2013;1986;1763;1752;1752;971
2119;2029;2016;2016;1994;1994;1933
11184;8589;8562;8192;8148;8148;2685
9931;8443;8426;7685;7603;7603;2364
2155;2062;2049;2049;2026;2026;1980
36044;29135;29073;21652;21447;21447;6999
17926;15987;15970;7813;7800;7800;989
2225;2166;2143;2047;2025;2025;1417
2101;2023;1977;1977;1963;1963;1963
2706;2587;2574;2438;2416;2416;1458
2921;2830;2793;2744;2430;2430;2129
10665;10437;10379;9971;9898;9898;9863
7194;6438;6425;5758;5701;5701;2053
1824;1715;1702;1467;1456;1456;738
36050;29150;29055;21628;21427;21427;6951
3893;3571;3546;3460;3335;3335;1514
3964;3729;3704;3093;3061;3061;3026
3404;3310;3297;3161;3122;3122;2411
1525;1472;1454;1111;1105;1105;558
5443;5199;5178;4082;4039;4039;2569
20826;20248;20005;19635;19399;19399;17684
2731;2628;2611;2551;2521;2521;2482
4633;4505;4480;4354;4299;4299;3833
9291;8745;8670;8541;7735;7735;6650
1077;1046;1024;1024;1011;1011;983
1336;1286;1269;1177;1163;1163;952
1449;1392;1371;1292;1268;1268;1210
9433;9014;8955;8733;8666;8666;4272
5588;4959;4937;4422;4402;4402;2101
37750;30784;30693;23181;22969;22969;8155
4546;4419;4406;4262;4229;4229;1003
1946;1888;1871;1779;1762;1762;1570
3055;2967;2954;2843;2808;2808;2022
5929;5258;5227;4897;4868;4868;1461
4340;4214;4189;4063;4019;4019;3547
1553;1496;1483;1277;1252;1252;893
1886;1714;1701;1289;1275;1275;521
2040;1976;1933;1646;1565;1565;1530
4593;4465;4452;4308;4273;4273;1047
17957;16017;16000;7843;7829;7829;1020
3270;3177;3154;3043;3005;3005;2210
36287;29343;29246;21823;21614;21614;7146
3082;2993;2980;2869;2835;2835;2051
1697;1636;1619;1531;1514;1514;1287
2117;2009;1996;1773;1750;1750;1042
16359;15707;15462;15462;14722;14722;14682
3279;3188;3165;3021;2990;2990;2130
1837;1783;1770;1393;1376;1376;778
12082;11561;11465;9793;9653;9653;2833
42349;40713;40663;40587;40390;40390;36669
1173;1114;1101;790;781;781;737
3297;3053;3036;2896;2852;2852;2800
1481;1403;1390;1059;1048;1048;508
4643;4515;4490;4364;4307;4307;3830
1873;1818;1805;1428;1411;1411;812
6900;6277;6260;6165;6045;6045;1527
2333;2274;2251;2155;2128;2128;1549
19432;18074;17945;16352;16240;16240;10923
3185;3093;3080;2936;2901;2901;2060
1431;1384;1367;1275;1260;1260;1072
1549;1476;1463;1132;1116;1116;546
3001;2904;2888;2757;2722;2722;2307
3757;3537;3511;3437;3388;3388;2010
1909;1831;1802;1780;1765;1765;1735
1101;1055;1042;986;953;953;905
3014;2921;2901;2770;2737;2737;2275
5197;5093;5077;4946;4748;4748;4340
40267;31298;31231;22998;22776;22776;7313
3230;3137;3124;2980;2942;2942;2101
4956;4712;4682;4638;4527;4527;4488
6044;5495;5482;5260;5222;5222;1493
2054;1967;1946;1810;1769;1769;1731
2972;2818;2795;2734;2713;2713;1299
3354;3253;3233;3102;3057;3057;2579
41330;32313;32264;23942;23727;23727;7941
3337;3243;3220;3075;3038;3038;2195
2182;2129;2106;2010;1989;1989;1419
2055;1996;1983;1459;1445;1445;714
2183;2130;2107;2011;1991;1991;1418
9275;6958;6939;5374;5339;5339;1647
40886;31897;31761;23550;23333;23333;7744
16834;15694;15414;15414;15063;15063;14999
3436;3262;3240;3152;3049;3049;1914
1516;1443;1430;1099;1088;1088;536
1535;1442;1429;1297;1265;1265;1220
2619;2557;2524;2427;2392;2392;1781
1318;1253;1236;1124;1114;1114;1075
3274;3180;3167;3023;2986;2986;2140
2712;2550;2513;2464;2423;2423;2390
40614;31602;31520;23311;23088;23088;7479
19648;19142;18880;18880;18358;18358;18314
2091;2031;2018;1494;1478;1478;746
1433;1376;1355;1290;1270;1270;1223
3022;2929;2910;2779;2744;2744;2280
1804;1741;1729;1633;1506;1506;1299
2327;2248;2236;2012;1986;1986;900
2138;2041;2020;1762;1732;1732;1691
17109;16549;16303;16303;15757;15757;15702
3078;2541;2529;2494;2484;2484;1169
3244;3101;3086;2976;2937;2937;1697
4117;3951;3929;3905;3794;3794;3754
10991;9144;9125;8052;7997;7997;2932
4516;3748;3730;3513;3484;3484;1335
3258;3115;3100;2990;2950;2950;1698
1;1;1;1;1;1;1
8299;8149;8137;8137;8021;8021;5738
3341;3197;3172;3062;3022;3022;1770
9029;8621;8547;8418;7614;7614;6530
3905;3477;3465;2849;2815;2815;1401
1059;1025;1002;906;848;848;798
740;707;691;691;679;679;654
2320;2234;2222;2056;2030;2030;936
1143;1107;1084;985;927;927;884
8987;8580;8506;8377;7575;7575;6488
3202;3060;3045;2935;2897;2897;1661
1578;1441;1429;1358;1269;1269;1234
2886;2776;2760;2694;2664;2664;2625
